"POPCTRRAuid","POPCTRRAdguid","POPCTRRAname","POPCTRRAtype","POPCTRRAclass","POPCTRRApop_2021","POPCTRRAtdwell_2021","POPCTRRAurdwell_2021","POPCTRRApop_2016","POPCTRRApop_2016a","POPCTRRAtdwell_2016a","POPCTRRAurdwell_2016a","POPCTRRAarea","POPCTRRAadj_2016","POPCTRRAir_2016","POPCTRRAir_2021","PRuid","XPRuid","CMAuid"
"1328","2021S05101328","White City","2","2",4713,1547,1520,4234,4264,1415,1374,"6.3236","1","0","0","47",,"705"
"1329","2021S05101329","Balgonie","2","2",1736,619,612,1745,1745,603,599,"1.3367","0","0","0","47",,"705"
"1330","2021S05101330","Everett","4","2",1570,553,540,1670,1670,561,559,"1.5827","0","0","0","35",,
"1331","2021S05101331","Wasaga Beach","1","2",22194,12134,9518,17808,18653,11108,8022,"28.2076","1","0","0","35",,"565"
"1332","2021S05101332","Rougemont","4","2",1668,723,709,1481,1593,701,657,"3.3331","1","0","0","24",,
"1333","2021S05101333","Roxton Pond","2","2",2701,1195,1122,2301,2301,1055,972,"3.2817","0","0","0","24",,"450"
"1334","2021S05101334","Lac-Alouette","4","2",4687,2010,1945,4473,4557,1906,1795,"6.7778","1","0","0","24",,
"1335","2021S05101335","Saint-Liboire","4","2",1844,682,675,1775,1775,632,628,"2.1537","0","0","0","24",,
"1337","2021S05101337","Carleton","4","2",1198,611,591,1101,1117,581,547,"1.0269","1","0","0","24",,
"1338","2021S05101338","Betsiamites","4","2",2104,732,716,2105,2105,747,726,"1.7776","0","0","0","24",,
"1339","2021S05101339","Mistissini","4","2",3190,938,843,2869,3523,1066,905,"3.0468","1","0","0","24",,
"1340","2021S05101340","Chisasibi","4","2",3565,969,772,2967,3682,919,782,"5.4248","1","0","0","24",,
"1341","2021S05101341","Notre-Dame-du-Mont-Carmel","4","2",1126,475,467,1091,1091,452,438,"1.2517","0","0","0","24",,
"1342","2021S05101342","Saint-Roch-de-l'Achigan","2","2",2136,877,857,1373,1949,796,774,"1.4098","1","0","0","24",,"462"
"1343","2021S05101343","Hayes Subdivision","4","2",1044,435,429,1121,1121,437,434,"1.0975","0","0","0","12",,
"1346","2021S05101346","Clairmont","4","2",2808,1133,1041,1922,2411,993,929,"4.1596","1","0","0","48",,
"1347","2021S05101347","La Crète","4","2",2911,1125,1063,1860,2739,1094,971,"3.0218","1","0","0","48",,
"1350","2021S05101350","Blind Bay","4","2",2369,1117,1036,1976,2113,1058,942,"4.1408","1","0","0","59",,
"1351","2021S05101351","Pemberton","4","2",2970,1242,1184,1957,2269,890,847,"2.8236","1","0","0","59",,
"1352","2021S05101352","McEwen","2","2",1445,746,725,1462,1462,753,731,"0.8295","0","0","0","13",,"305"
"1353","2021S05101353","Brookside","2","2",1439,579,562,1441,1441,567,548,"2.8107","0","0","0","12",,"205"
"1356","2021S05101356","Caledon East","2","2",4568,1458,1412,4282,4282,1362,1353,"6.435","0","0","0","35",,"535"
"1357","2021S05101357","Schomberg","2","2",2656,1059,1030,2691,2691,1056,1023,"2.389","0","0","0","35",,"535"
"1358","2021S05101358","Saint Grégoire","2","2",1651,719,694,1400,1597,676,648,"1.4041","1","0","0","24",,"442"
"1359","2021S05101359","Bromont","2","2",5345,3090,2505,3895,4365,2716,2054,"7.92","1","0","0","24",,"450"
"1360","2021S05101360","Calmar","2","2",1883,803,766,1849,1986,775,757,"1.3276","1","0","0","48",,"835"
"1361","2021S05101361","Les Cèdres","2","2",2214,925,904,2233,2233,932,901,"1.7852","0","0","0","24",,"462"
"1362","2021S05101362","Oka","2","2",1299,631,605,1254,1269,617,586,"0.998","1","0","0","24",,"462"
"1363","2021S05101363","Saint-Augustin","2","2",11769,4655,4568,9399,9453,3595,3519,"11.3519","1","0","0","24",,"462"
"1365","2021S05101365","Oakbank","2","2",5041,1760,1716,4604,4604,1530,1503,"5.3891","0","0","0","46",,"602"
"1367","2021S05101367","Langdon","2","2",5193,1693,1667,5060,5060,1586,1582,"4.3154","0","0","0","48",,"825"
"1368","2021S05101368","Chestermere","6","2",21425,6654,6483,19472,19477,6108,5983,"8.9928","1","0","0","48",,"825"
"1369","2021S05101369","Irricana","2","2",1135,456,444,1160,1160,452,447,"1.1388","0","0","0","48",,"825"
"1370","2021S05101370","Ballantrae","2","2",3224,1494,1455,3223,3223,1489,1458,"7.0635","0","0","0","35",,"535"
"1371","2021S05101371","Virgil","2","2",3008,1295,1235,2937,2937,1113,1084,"2.4145","0","0","0","35",,"539"
"1373","2021S05101373","Lorette","2","2",3230,1167,1134,2904,2904,1021,982,"3.1452","0","0","0","46",,"602"
"1374","2021S05101374","Regina Beach","2","2",1790,1272,836,1629,1629,1304,740,"2.7236","0","0","0","47",,"705"
"1375","2021S05101375","Crofton","2","2",1446,633,606,1373,1373,625,576,"2.7596","0","0","0","59",,"937"
"1376","2021S05101376","Roberts Creek","4","2",1927,1007,850,1848,1898,1010,829,"4.1848","1","0","0","59",,
"1377","2021S05101377","Harrison Hot Springs","2","2",1552,873,733,1242,1242,796,609,"1.1678","0","0","0","59",,"930"
"1379","2021S05101379","Stanley Mission 157","4","2",1987,559,523,1545,1935,509,480,"2.6864","1","0","0","47",,
"1386","2021S05101386","Waskaganish","4","2",1807,437,401,1839,1839,473,422,"0.8114","0","0","0","24",,
"1387","2021S05101387","Bowden","4","2",1275,621,583,1240,1240,581,524,"2.8151","0","0","0","48",,
"1389","2021S05101389","Red Lake","4","2",1263,610,566,1177,1182,553,494,"1.5417","1","0","0","35",,
"1390","2021S05101390","Moosonee","4","2",1471,612,475,1405,1405,597,460,"1.6366","0","0","0","35",,
"1392","2021S05101392","Cambridge Bay","4","2",1403,521,434,1619,1619,586,494,"0.8488","0","0","0","62",,
"1393","2021S05101393","Arviat","4","2",2766,668,608,2514,2581,615,577,"2.4187","1","0","0","62",,
"1394","2021S05101394","Still Water Lake","2","2",3379,1153,1138,1586,3447,1142,1122,"8.2267","1","0","0","12",,"205"
"1395","2021S05101395","Starlight Village","2","2",2222,767,762,2127,2193,736,733,"5.2712","1","0","0","13",,"320"
"1396","2021S05101396","Maliotenam","2","2",1458,486,475,1363,1363,463,445,"0.7969","0","0","0","24",,"412"
"1397","2021S05101397","Ville Lambert","2","2",2544,1086,1054,2443,2596,1076,1044,"2.6727","1","0","0","24",,"421"
"1398","2021S05101398","Sainte-Catherine-de-la-Jacques-Cartier","2","2",1757,661,655,1633,1643,618,610,"0.825","1","0","0","24",,"421"
"1399","2021S05101399","Domaine-Ouellet","2","2",3391,1143,1131,2894,2894,1028,1001,"1.1652","0","0","0","24",,"462"
"1400","2021S05101400","Lac-Simon","2","2",1134,286,285,1243,1333,310,300,"2.2545","1","0","0","24",,"480"
"1402","2021S05101402","Manotick Station","2","2",5873,2028,2007,5738,5776,1970,1945,"9.0911","1","0","0","35",,"505"
"1403","2021S05101403","Bath","2","2",1825,851,836,1180,1670,787,755,"3.874","1","0","0","35",,"521"
"1404","2021S05101404","Binbrook","2","2",10791,3549,3510,8794,8794,3083,3030,"6.4059","0","0","0","35",,"537"
"1406","2021S05101406","Ilderton","2","2",2250,793,785,1856,1985,702,687,"1.188","1","0","0","35",,"555"
"1407","2021S05101407","Nobleford","2","2",1438,462,446,1278,1278,427,404,"0.9757","0","0","0","48",,"810"
"1408","2021S05101408","Aldergrove East","2","2",4496,1314,1233,3491,3491,1072,982,"2.5466","0","0","0","59",,"932"
"1409","2021S05101409","Miller's Landing","2","2",1437,669,576,1097,1230,645,504,"1.9144","1","0","0","59",,"933"
"1410","2021S05101410","Cowichan Bay","2","2",2799,1227,1162,2394,2557,1133,1080,"4.4678","1","0","0","59",,"937"
"1411","2021S05101411","Mitchell","4","2",3136,965,940,2523,2523,762,751,"4.0797","0","0","0","46",,
"1413","2021S05101413","St. Theresa Point","4","2",1083,206,191,1038,1038,204,193,"1.5345","0","0","0","46",,
"1414","2021S05101414","Grunthal","4","2",1782,636,618,1680,1680,560,532,"2.6951","0","0","0","46",,
"1416","2021S05101416","Blumenort","4","2",1738,578,564,1675,1675,545,533,"3.1702","0","0","0","46",,
"1421","2021S05101421","Birch Hills","4","2",1066,475,450,1033,1033,465,436,"2.3871","0","0","0","47",,
"1423","2021S05101423","Pelican Narrows","4","2",2133,432,405,1942,2281,467,413,"2.728","1","0","0","47",,
"1424","2021S05101424","Welcome Beach","4","2",1116,524,484,1125,1125,521,482,"1.4073","0","0","0","59",,
"1426","2021S05101426","Factory Island","4","2",1530,605,474,1807,1812,654,550,"1.436","1","0","0","35",,
"1428","2021S05101428","St. Clements","4","2",1240,463,456,,820,294,293,"1.5101","1","0","0","35",,
"1429","2021S05101429","New Dundee","2","2",1174,440,430,1119,1119,435,423,"1.5298","0","0","0","35",,"541"
"1430","2021S05101430","Thornton","2","2",1046,363,358,,1017,353,348,"1.1051","1","0","0","35",,"563"
"1431","2021S05101431","Sunderland","4","2",1490,561,537,1243,1243,472,463,"1.1304","0","0","0","35",,
"1432","2021S05101432","Saint-Charles","4","2",1357,602,585,1482,1482,643,626,"1.3799","0","0","0","24",,
"1433","2021S05101433","Manawan","4","2",1597,315,271,1648,1648,343,306,"0.8557","0","0","0","24",,
"1434","2021S05101434","Terrasse-des-Pins","4","2",4395,1839,1798,4268,4382,1792,1754,"6.5298","1","0","0","24",,
"1435","2021S05101435","Domaine-C.-L.-C.","2","2",1662,636,624,1521,1521,582,568,"1.9064","0","0","0","24",,"462"
"1436","2021S05101436","Saint-Michel","4","2",1745,608,598,1558,1558,537,532,"1.055","0","0","0","24",,
"1437","2021S05101437","L'Ange-Gardien","4","2",1720,695,677,1585,1600,648,627,"1.4717","1","0","0","24",,
"1438","2021S05101438","Saint-Alexandre","4","2",1342,503,491,1093,1093,422,413,"1.2918","0","0","0","24",,
"1439","2021S05101439","Baker Lake","4","2",1653,547,472,1690,1690,552,486,"1.5595","0","0","0","62",,
"1443","2021S05101443","Osler","2","2",1251,429,420,1237,1237,412,399,"1.621","0","0","0","47",,"725"
"1444","2021S05101444","Massey Drive","2","2",1606,670,626,1632,1632,624,610,"2.4517","0","0","0","10",,"015"
"1446","2021S05101446","Centreville","2","2",1159,511,500,1129,1129,491,478,"2.3645","0","0","0","12",,"210"
"1447","2021S05101447","Enfield - Lantz","2","2",6583,2806,2724,6807,6807,2776,2698,"11.674","0","0","0","12",,"205"
"1449","2021S05101449","Eskasoni 3","2","2",2575,812,776,2120,2352,748,711,"5.7011","1","0","0","12",,"225"
"1450","2021S05101450","Port Williams","2","2",1030,450,433,1120,1120,461,452,"1.9154","0","0","0","12",,"210"
"1451","2021S05101451","New Maryland","2","2",2179,793,788,2219,2219,780,775,"2.7019","0","0","0","13",,"320"
"1452","2021S05101452","Quispamsis - Rothesay","6","2",24881,9753,9523,24445,24549,9352,9089,"37.0521","1","0","0","13",,"310"
"1453","2021S05101453","Richibucto 15","4","2",1464,555,541,1053,1435,566,553,"2.5156","1","0","0","13",,
"1454","2021S05101454","Saint-Antoine","4","2",1383,593,567,1252,1353,591,558,"2.5668","1","0","0","13",,
"1455","2021S05101455","Wells","2","2",1263,467,460,1266,1266,467,456,"2.8775","0","0","0","13",,"310"
"1456","2021S05101456","Angers","2","2",7259,2844,2781,6973,6973,2624,2583,"4.7624","0","0","0","24",,"505"
"1457","2021S05101457","Beaumont","2","2",1209,501,481,1210,1210,549,467,"1.6373","0","0","0","24",,"421"
"1458","2021S05101458","Black Lake","2","2",3266,1653,1571,3298,3298,1626,1543,"2.332","0","0","0","24",,"430"
"1459","2021S05101459","Bromptonville","2","2",3862,1615,1569,2725,3687,1567,1537,"6.639","1","0","0","24",,"433"
"1460","2021S05101460","Cap-Saint-Ignace","4","2",1160,518,488,1214,1214,515,488,"2.4689","0","0","0","24",,
"1462","2021S05101462","Évain","2","2",2329,913,899,2426,2441,917,913,"1.9721","1","0","0","24",,"485"
"1463","2021S05101463","Fossambault-sur-le-Lac","2","2",3367,1666,1369,2769,2931,1614,1196,"6.4413","1","0","0","24",,"421"
"1464","2021S05101464","Godefroy","2","2",1463,633,615,1410,1410,592,585,"0.7885","0","0","0","24",,"442"
"1465","2021S05101465","Inukjuak","4","2",1671,531,431,1312,1438,420,363,"1.976","1","0","0","24",,
"1466","2021S05101466","Kuujjuaq","4","2",1958,910,709,1353,2219,864,753,"2.4565","1","0","0","24",,
"1467","2021S05101467","Lac-Connelly","4","2",1272,697,591,1212,1212,660,541,"2.1553","0","0","0","24",,
"1468","2021S05101468","LeBlanc","2","2",1186,481,462,1513,1518,573,543,"1.6922","1","0","0","24",,"450"
"1469","2021S05101469","Maria","4","2",1421,618,582,1124,1422,615,570,"2.9686","1","0","0","24",,
"1470","2021S05101470","Melocheville","2","2",3039,1391,1355,2621,2694,1232,1181,"2.3435","1","0","0","24",,"462"
"1471","2021S05101471","Neuville","2","2",2543,1125,1079,2435,2512,1093,1040,"3.9774","1","0","0","24",,"421"
"1472","2021S05101472","Obedjiwan","4","2",1259,277,272,1404,1404,292,287,"0.6301","0","0","0","24",,
"1473","2021S05101473","Parc-Boutin","2","2",1246,452,444,1127,1127,439,415,"2.6686","0","0","0","24",,"421"
"1475","2021S05101475","Puvirnituq","4","2",1456,449,348,1038,1038,361,245,"0.8695","0","0","0","24",,
"1477","2021S05101477","Saint-Amable","2","2",11199,4362,4289,9486,10144,3877,3792,"7.8987","1","0","0","24",,"462"
"1478","2021S05101478","Saint-Ambroise-de-Kildare","4","2",1883,765,755,1655,1792,731,715,"2.4653","1","0","0","24",,
"1479","2021S05101479","Saint-Bernard","4","2",1223,505,495,1075,1075,448,438,"0.8768","0","0","0","24",,
"1480","2021S05101480","Saint-Boniface","4","2",1365,596,582,1035,1307,547,529,"2.4342","1","0","0","24",,
"1481","2021S05101481","Saint-Chrysostome","4","2",1171,550,510,1218,1218,563,534,"1.4383","0","0","0","24",,
"1482","2021S05101482","Sainte-Agathe-des-Monts - Val-David","1","2",12136,7091,6064,11108,11348,6878,5573,"19.5055","1","0","0","24",,"467"
"1483","2021S05101483","Sainte-Brigitte-de-Laval","2","2",4872,1953,1887,3917,4244,1763,1658,"6.0697","1","0","0","24",,"421"
"1484","2021S05101484","Saint-Elzéar","4","2",1152,476,467,1057,1122,464,447,"0.657","1","0","0","24",,
"1485","2021S05101485","Saint-Jean-Baptiste","4","2",1822,776,757,1703,1703,740,710,"3.5657","0","0","0","24",,
"1486","2021S05101486","Saint-Léonard-d'Aston","4","2",1469,681,657,1336,1336,628,590,"1.5987","0","0","0","24",,
"1487","2021S05101487","Saint-Michel-de-Bellechasse","4","2",1243,593,536,1146,1208,624,516,"1.8945","1","0","0","24",,
"1488","2021S05101488","Saint-Polycarpe","4","2",1365,578,571,1165,1165,487,461,"0.8553","0","0","0","24",,
"1489","2021S05101489","Saint-Prime","4","2",1069,486,462,1021,1021,447,434,"1.0456","0","0","0","24",,
"1490","2021S05101490","Saint-Thomas","4","2",1589,691,674,1395,1416,631,615,"1.6293","1","0","0","24",,
"1491","2021S05101491","Salluit","4","2",1107,327,292,1075,1255,306,267,"0.7638","1","0","0","24",,
"1492","2021S05101492","Shannon","2","2",3131,1293,1199,2846,3179,1296,1147,"3.9534","1","0","0","24",,"421"
"1493","2021S05101493","Stanstead","4","2",1483,727,670,1475,1475,743,665,"2.3515","0","0","0","24",,
"1494","2021S05101494","Stoneham","2","2",1905,719,695,1854,1854,674,655,"2.6816","0","0","0","24",,"421"
"1495","2021S05101495","Val-Maher","4","2",1674,636,628,1668,1668,619,617,"2.9777","0","0","0","24",,
"1497","2021S05101497","Attawapiskat 91A","4","2",1586,404,359,1501,1501,415,387,"1.3335","0","0","0","35",,
"1498","2021S05101498","Azilda","2","2",4793,2087,2051,4663,4716,1997,1955,"4.9079","1","0","0","35",,"580"
"1499","2021S05101499","Bayfield","4","2",1394,1066,717,1112,1235,988,629,"2.8602","1","0","0","35",,
"1500","2021S05101500","Bourget","2","2",1175,462,450,1169,1169,440,428,"2.2262","0","0","0","35",,"505"
"1502","2021S05101502","Chalk River","4","2",1061,453,428,1029,1044,439,422,"1.9188","1","0","0","35",,
"1503","2021S05101503","Chelmsford","2","2",6199,2826,2729,6215,6220,2803,2660,"5.501","1","0","0","35",,"580"
"1504","2021S05101504","Chippawa","2","2",6077,2519,2435,5620,5620,2275,2216,"3.7195","0","0","0","35",,"539"
"1505","2021S05101505","Claremont","2","2",1215,413,402,1202,1202,411,404,"2.1181","0","0","0","35",,"535"
"1507","2021S05101507","Coniston","2","2",1782,778,752,1814,1814,784,754,"2.2461","0","0","0","35",,"580"
"1508","2021S05101508","Corunna","2","2",6266,2530,2449,5686,5822,2376,2282,"3.7873","1","0","0","35",,"562"
"1509","2021S05101509","Dorchester","2","2",4355,1670,1657,3911,4400,1646,1638,"5.8133","1","0","0","35",,"555"
"1510","2021S05101510","Haliburton Village","4","2",1078,557,514,1149,1149,559,549,"2.1952","0","0","0","35",,
"1511","2021S05101511","Ingleside","2","2",1487,670,657,1384,1384,635,625,"1.7577","0","0","0","35",,"501"
"1512","2021S05101512","Innisfil","6","2",29464,11265,10475,23992,24277,9776,8859,"23.7133","1","0","0","35",,"568"
"1513","2021S05101513","King","2","2",8396,2730,2662,6970,6970,2396,2283,"14.2041","0","0","0","35",,"535"
"1514","2021S05101514","Limoges","4","2",2213,805,797,2048,2048,764,748,"1.2245","0","0","0","35",,
"1515","2021S05101515","Long Sault","2","2",2154,896,876,1779,1951,790,777,"2.3487","1","0","0","35",,"501"
"1516","2021S05101516","Marchmont - Bass Lake","4","2",1902,744,677,1191,1562,661,578,"4.0916","1","0","0","35",,
"1517","2021S05101517","McGregor","2","2",1536,620,608,1859,1859,633,620,"3.3211","0","0","0","35",,"559"
"1518","2021S05101518","New Liskeard","4","2",4232,2023,1908,4402,4444,2189,2094,"7.0198","1","0","0","35",,
"1520","2021S05101520","Oro Station - Hawkestone","4","2",1806,806,710,1691,1691,809,671,"2.2205","0","0","0","35",,
"1521","2021S05101521","Palgrave","2","2",1107,428,416,1044,1044,396,393,"1.8371","0","0","0","35",,"535"
"1522","2021S05101522","Plattsville","4","2",1520,546,539,1366,1366,491,489,"1.3738","0","0","0","35",,
"1523","2021S05101523","Port Colborne","6","2",15441,7085,6835,15037,14800,6895,6612,"13.293","1","0","0","35",,"539"
"1524","2021S05101524","Port Rowan","2","2",1357,739,707,1102,1354,731,685,"3.1687","1","0","0","35",,"547"
"1525","2021S05101525","Stevensville","2","2",1316,546,512,1179,1179,459,450,"2.5196","0","0","0","35",,"539"
"1526","2021S05101526","Tay","4","2",6188,2767,2499,5408,5474,2512,2197,"8.6393","1","0","0","35",,
"1528","2021S05101528","Welland - Pelham","6","3",69302,29874,28828,62388,63011,27475,26573,"57.2088","1","0","0","35",,"539"
"1529","2021S05101529","Wendover","4","2",2176,879,858,1785,1785,751,737,"3.5792","0","0","0","35",,
"1530","2021S05101530","Arborg","4","2",1279,528,497,1222,1222,509,495,"1.9996","0","0","0","46",,
"1531","2021S05101531","Cross Lake 19A","4","2",1826,435,381,2018,2041,451,401,"3.2965","1","0","0","46",,
"1532","2021S05101532","Ile des Chênes","2","2",1572,647,624,1528,1528,605,588,"1.832","0","0","0","46",,"602"
"1533","2021S05101533","La Salle","2","2",2471,784,772,1589,1874,578,574,"2.9993","1","0","0","46",,"602"
"1534","2021S05101534","Landmark","2","2",1284,458,442,1237,1237,427,412,"2.2171","0","0","0","46",,"602"
"1535","2021S05101535","Oak Bluff","2","2",1442,481,475,1051,1051,325,325,"2.5195","0","0","0","46",,"602"
"1536","2021S05101536","St-Pierre-Jolys","4","2",1305,518,508,1170,1170,477,457,"2.6076","0","0","0","46",,
"1537","2021S05101537","Teulon","4","2",1087,543,501,1095,1095,551,519,"1.8711","0","0","0","46",,
"1538","2021S05101538","Battleford","2","2",3651,1619,1513,3750,3750,1588,1539,"2.1403","0","0","0","47",,"735"
"1539","2021S05101539","Delisle","2","2",1024,460,426,1038,1038,437,411,"1.0783","0","0","0","47",,"725"
"1540","2021S05101540","Alberta Beach - Val Quentin","4","2",1103,1051,528,1204,1327,1124,632,"1.6939","1","0","0","48",,
"1542","2021S05101542","Cold Lake","4","2",7201,3022,2808,6678,6795,2887,2552,"5.7055","1","0","0","48",,
"1543","2021S05101543","Coleman","4","2",1441,907,722,1475,1475,893,697,"1.9937","0","0","0","48",,
"1546","2021S05101546","Fort Saskatchewan","6","2",26831,10779,10306,23895,23944,9853,9177,"21.848","1","0","0","48",,"835"
"1547","2021S05101547","Heritage Pointe","4","2",1974,726,707,2075,2075,721,710,"4.7834","0","0","0","48",,
"1548","2021S05101548","Lancaster Park","2","2",1253,469,439,1501,1501,505,462,"0.9167","0","0","0","48",,"835"
"1549","2021S05101549","Legal","2","2",1164,459,425,1135,1251,437,420,"1.792","1","0","0","48",,"835"
"1550","2021S05101550","Redcliff","2","2",5385,2206,2117,5474,5474,2184,2115,"7.3935","0","0","0","48",,"805"
"1551","2021S05101551","Springbrook","4","2",1534,604,579,1502,1502,548,529,"2.1857","0","0","0","48",,
"1552","2021S05101552","Turner Valley","4","2",2409,1025,965,2249,2373,966,921,"3.3","1","0","0","48",,
"1553","2021S05101553","Vauxhall","4","2",1286,457,436,1222,1222,458,413,"2.7089","0","0","0","48",,
"1554","2021S05101554","Westlake","4","2",2040,654,635,1363,1363,470,440,"3.2655","0","0","0","48",,
"1556","2021S05101556","Fairwinds","4","2",1207,682,607,1147,1147,658,577,"2.1287","0","0","0","59",,
"1557","2021S05101557","Cobble Hill","4","2",3610,1692,1651,3580,3580,1666,1638,"6.6728","0","0","0","59",,
"1558","2021S05101558","Keremeos","4","2",1791,938,888,1714,1714,874,816,"2.8449","0","0","0","59",,
"1559","2021S05101559","Ladner","2","2",23016,9286,9028,22193,22193,8820,8644,"7.3762","0","0","0","59",,"933"
"1560","2021S05101560","Mission","6","3",36193,12702,12185,33261,33713,12038,11535,"27.2348","1","0","0","59",,"932"
"1561","2021S05101561","Naramata","4","2",1012,505,444,1003,1013,489,424,"2.3924","1","0","0","59",,
"1562","2021S05101562","Okanagan Falls","2","2",2202,1248,1078,2167,2167,1248,1063,"3.3336","0","0","0","59",,"913"
"1563","2021S05101563","Peachland","2","2",5006,2572,2353,4698,4698,2396,2148,"9.8262","0","0","0","59",,"915"
"1564","2021S05101564","Puntledge","4","2",1185,497,479,1387,1191,485,481,"2.9461","1","0","0","59",,
"1565","2021S05101565","Rayleigh","2","2",1933,723,713,1951,1951,738,716,"2.057","0","0","0","59",,"925"
"1566","2021S05101566","Rosedale","2","2",2232,761,749,1741,1894,687,663,"4.3872","1","0","0","59",,"930"
"1567","2021S05101567","Shawnigan - Mill Bay","4","2",7285,3065,2855,7021,7129,2896,2765,"14.8683","1","0","0","59",,
"1568","2021S05101568","Telkwa","4","2",1288,500,482,1160,1160,467,428,"2.8621","0","0","0","59",,
"1569","2021S05101569","Trail - Fruitvale","1","2",12863,6177,5884,12643,12736,6201,5844,"21.6528","1","0","0","59",,"910"
"1570","2021S05101570","Tsawwassen","2","2",23940,10465,9968,21588,21845,9198,8818,"14.9525","1","0","0","59",,"933"
"1572","2021S05101572","Fort Smith","4","2",1749,778,687,2031,2031,857,768,"2.0436","0","0","0","61",,
"1573","2021S05101573","Gjoa Haven","4","2",1110,267,239,1197,1197,280,255,"0.6998","0","0","0","62",,
"1574","2021S05101574","Howie Centre","2","2",1106,501,490,1733,1157,503,500,"1.6702","1","0","0","12",,"225"
"1575","2021S05101575","Placentia","4","2",1338,761,638,1553,1374,784,640,"2.6236","1","0","0","10",,
"1577","2021S05101577","Sheshatshiu","4","2",1049,331,299,,1272,310,279,"1.6052","1","0","0","10",,
"1578","2021S05101578","Indian Brook 14","2","2",2332,965,949,,655,221,214,"3.8913","1","0","0","12",,"205"
"1579","2021S05101579","Ayer's Cliff","4","2",1087,568,478,,963,557,435,"2.3235","1","0","0","24",,
"1580","2021S05101580","Montagnac","2","2",1041,456,404,,913,413,347,"2.5955","1","0","0","24",,"433"
"1581","2021S05101581","Mont-Saint-Grégoire","4","2",1021,388,374,,1015,370,368,"1.3969","1","0","0","24",,
"1582","2021S05101582","Rivière-Beaudette","4","2",1854,812,752,,1592,731,660,"3.469","1","0","0","24",,
"1583","2021S05101583","Saint-Étienne-des-Grès","4","2",1455,609,594,,1407,589,560,"2.4233","1","0","0","24",,
"1584","2021S05101584","Saint-Jean-de-Matha","4","2",1121,546,488,,1004,464,428,"2.3325","1","0","0","24",,
"1585","2021S05101585","Saint-Roch-de-Richelieu","4","2",1031,463,448,,841,379,364,"1.4943","1","0","0","24",,
"1586","2021S05101586","Scott","4","2",1433,614,587,,1293,552,534,"2.6357","1","0","0","24",,
"1587","2021S05101587","Venise-en-Québec","4","2",1069,668,539,,920,646,469,"1.4281","1","0","0","24",,
"1588","2021S05101588","Wemindji","4","2",1324,422,335,,1209,334,291,"0.7113","1","0","0","24",,
"1589","2021S05101589","Whapmagoostui - Kuujjuarapik","4","2",1411,359,333,,365,123,108,"0.9046","1","0","0","24",,
"1590","2021S05101590","Big Bay Point","2","2",1670,1365,770,,844,418,311,"2.6258","1","0","0","35",,"568"
"1591","2021S05101591","Carp","2","2",1477,558,552,,1290,468,467,"2.0467","1","0","0","35",,"505"
"1592","2021S05101592","Craigleith and Swiss Meadows","4","2",1259,1182,614,,546,775,277,"3.0784","1","0","0","35",,
"1593","2021S05101593","Horseshoe Valley","4","2",1127,418,407,,866,340,335,"2.6793","1","0","0","35",,
"1594","2021S05101594","Innerkip","4","2",1342,491,486,,894,338,337,"1.4679","1","0","0","35",,
"1595","2021S05101595","Kasabonika Lake","4","2",1060,252,228,,849,212,179,"1.1345","1","0","0","35",,
"1596","2021S05101596","Merrickville","4","2",1036,498,472,,1016,488,447,"2.0043","1","0","0","35",,
"1597","2021S05101597","Sandy Lake 88","4","2",1601,426,376,,49,14,12,"1.3517","1","0","0","35",,
"1598","2021S05101598","Tiny Beaches North","4","2",1065,850,490,,922,816,401,"2.2814","1","0","0","35",,
"1599","2021S05101599","Chemawawin 2","4","2",1163,356,250,,1131,273,237,"1.5143","1","0","0","46",,
"1600","2021S05101600","Cross Lake 19","4","2",1387,341,297,,1252,297,277,"3.0469","1","0","0","46",,
"1601","2021S05101601","La Broquerie","4","2",1332,502,479,,1034,417,385,"2.9796","1","0","0","46",,
"1602","2021S05101602","Nelson House 170","4","2",1351,273,260,,1675,322,305,"2.6999","1","0","0","46",,
"1603","2021S05101603","St. Andrews","4","2",1001,387,382,,1026,388,385,"2.3274","1","0","0","46",,
"1604","2021S05101604","Wasagamack","4","2",1689,341,341,,579,110,110,"3.6639","1","0","0","46",,
"1605","2021S05101605","Caronport","4","2",1008,368,323,,984,369,317,"0.9937","1","0","0","47",,
"1606","2021S05101606","Davidson","4","2",1039,517,461,,1038,505,463,"1.8016","1","0","0","47",,
"1607","2021S05101607","La Loche","4","2",2009,604,555,,1913,576,513,"1.5548","1","0","0","47",,
"1608","2021S05101608","Sandy Bay - Wapaskokimaw 202","4","2",1104,288,233,,910,237,191,"2.6796","1","0","0","47",,
"1609","2021S05101609","Waldheim","4","2",1113,405,387,,1080,387,378,"0.9871","1","0","0","47",,
"1610","2021S05101610","Cardiff","2","2",1033,395,379,,1167,401,398,"0.978","1","0","0","48",,"835"
"1611","2021S05101611","Carriage Lane Estates","4","2",1094,336,321,,1008,303,286,"1.3428","1","0","0","48",,
"1612","2021S05101612","Stirling","4","2",1134,368,349,,938,359,295,"2.0318","1","0","0","48",,
"1613","2021S05101613","Barriere","4","2",1273,557,502,,1169,530,512,"3.0894","1","0","0","59",,
"1614","2021S05101614","Mile 108 Recreational Ranch","4","2",1043,491,459,,1018,464,438,"2.5888","1","0","0","59",,
